nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0057413,Wendy Barrie-Wilson,\N,\N,actress,"tt0065272,tt0203259,tt6942032,tt0098844"
nm0057491,Mervyn Barrington,\N,\N,actor,"tt0002594,tt0354203,tt0331663,tt0351241"
nm0057823,Maurício Barroso,1925,2002,actor,"tt0289027,tt0363894,tt0198924,tt0194385"
nm0057990,Emma Barry,\N,\N,"editor,assistant_director,editorial_department","tt2210688,tt0309221,tt0366352,tt0460566"
nm0059797,Martin Bashir,1963,\N,"actor,writer","tt0282744,tt3501074,tt0199257,tt4866982"
nm0059877,Renato Basile,\N,\N,"producer,miscellaneous,production_manager","tt3534542,tt27409911,tt0472989,tt13497958"
nm0060148,Àngels Bassas,1971,\N,actress,"tt1534363,tt0302447,tt0198093,tt0177747"
nm0060318,Don J. Bassman,1927,1993,sound_department,"tt0099810,tt0095016,tt0066206,tt0096754"
nm0060549,Marcin Kot Bastkowski,1970,\N,"editor,miscellaneous,editorial_department","tt2627146,tt4584746,tt1783244,tt0128378"
nm0060733,Dean Batchelor,1982,\N,"actor,writer,miscellaneous","tt4823016,tt0084987,tt0284837,tt3084022"
nm0060815,Paul Bateman,\N,\N,"soundtrack,music_department,actor","tt0305357,tt0286499,tt2725962,tt1131729"
nm0061242,Chris Batson,\N,\N,"art_department,production_designer,art_director","tt0127998,tt1288431,tt0120755,tt0280605"
nm0061284,Aurelius Battaglia,1910,1984,"writer,director,art_department","tt0033563,tt0355576,tt0032910,tt0048865"
nm0061574,Pelin Batu,1978,\N,actress,"tt0499204,tt0871753,tt0884805,tt1505875"
