tconst,averagerating,numvotes
tt0387175,6.7,112
tt0387176,7.5,21
tt0387182,7.7,34
tt0387183,7.3,26
tt0387188,6.6,171
tt0387189,8.3,17
tt0387191,8.3,59
tt0387192,7.8,64
tt0387194,7.2,21
tt0387199,8.4,174029
tt0387201,7.6,7
tt0387202,6.9,8
tt0387203,6.9,38
tt0387205,9.0,50
tt0387207,8.0,8
tt0387208,5.1,32
tt0387210,7.5,60
tt0387212,6.8,76
tt0387214,3.3,96
tt0387218,5.6,38
tt0387222,7.7,348
tt0387225,6.6,13
tt0387228,5.2,185
tt0387230,9.0,17
tt0387233,5.5,1810
tt0387234,5.2,14
tt0387235,7.0,29
tt0387236,7.3,12
tt0387237,5.0,176
tt0387240,5.3,17
tt0387244,8.2,7
tt0387245,7.3,62
tt0387248,6.8,63
tt0387253,6.7,9
tt0387254,3.8,544
tt0387258,7.2,13
tt0387259,9.0,44
tt0387261,5.1,53
tt0387262,6.7,95
tt0387263,5.3,8
tt0387264,5.5,15
tt0387267,8.6,11
tt0387268,7.7,10
tt0387269,6.8,13
tt0387272,8.3,693
tt0387273,7.4,1360
tt0387274,5.4,11
tt0387279,8.6,96
tt0387280,3.4,12
tt0387282,3.0,7
tt0387287,5.2,18
tt0387288,7.8,5
tt0387289,8.3,174
tt0387292,5.2,11
tt0387293,2.6,27
tt0387294,8.4,150
tt0387295,6.9,33
tt0387300,8.2,546
tt0387301,7.0,1585
tt0387302,6.9,10
tt0387304,8.2,50
tt0387309,6.2,10
tt0387310,6.6,36
tt0387311,6.7,10
tt0387314,7.8,24
tt0387315,6.8,12
tt0387316,6.6,12
tt0387317,6.5,14
tt0387318,8.3,9
tt0387325,4.0,58
tt0387326,8.2,46
tt0387328,8.7,59
tt0387331,9.1,16
tt0387332,6.0,14
tt0387333,8.5,40
tt0387338,5.3,21
tt0387340,6.4,17
tt0387343,5.4,6
tt0387345,6.5,18
